material_input,llm_provider,llm_model,success,error_message,llm_formula,llm_space_group,llm_lattice_params,llm_atomic_positions,mp_formula,mp_space_group,mp_lattice_params,mp_atomic_positions,processing_time,api_failure,score
Silicon carbide,google,gemini-2.5-flash,True,,SiC,F-43m,"{'a': 4.36, 'b': 4.36, 'c': 4.36, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Si', 'position': [0.0, 0.0, 0.0]}, {'element': 'C', 'position': [0.25, 0.25, 0.25]}]",SiC,R3m,"{'a': 3.0767812902988743, 'b': 3.0767812902988743, 'c': 47.840220615981856, 'alpha': 88.15725280976095, 'beta': 88.15725280976095, 'gamma': 59.99983979764553}","[{'element': 'Si', 'position': [1.0980000000000002e-05, 1.0980000000000002e-05, -1.2e-07]}, {'element': 'Si', 'position': [0.929817599999999, 0.929817599999999, 0.2105308]}, {'element': 'Si', 'position': [0.89472145, 0.89472145, 0.31580303]}, {'element': 'Si', 'position': [0.82457891, 0.82457891, 0.52625294]}, {'element': 'Si', 'position': [0.7894646200000001, 0.7894646200000001, 0.6315497]}, {'element': 'Si', 'position': [0.71930885, 0.71930885, 0.84203646]}, {'element': 'Si', 'position': [0.6841903300000001, 0.6841903300000001, 0.94740885]}, {'element': 'Si', 'position': [0.63159899, 0.63159899, 0.10525658]}, {'element': 'Si', 'position': [0.57892137, 0.57892137, 0.2631812]}, {'element': 'Si', 'position': [0.52633948, 0.52633948, 0.42104139]}, {'element': 'Si', 'position': [0.47367382, 0.47367382, 0.57889398]}, {'element': 'Si', 'position': [0.42107204000000004, 0.42107204000000004, 0.7368208900000001]}, {'element': 'Si', 'position': [0.36841942, 0.36841942, 0.89472457]}, {'element': 'Si', 'position': [0.31581059, 0.31581059, 0.05257709]}, {'element': 'Si', 'position': [0.28069088000000003, 0.28069088000000003, 0.15794137]}, {'element': 'Si', 'position': [0.21057031, 0.21057031, 0.368365]}, {'element': 'Si', 'position': [0.17543814, 0.17543814, 0.473696699999999]}, {'element': 'Si', 'position': [0.10528643, 0.10528643, 0.68414504]}, {'element': 'Si', 'position': [0.07017624, 0.07017624, 0.7894654]}, {'element': 'C', 'position': [0.98683913, 0.98683913, 0.03948027]}, {'element': 'C', 'position': [0.91666527, 0.91666527, 0.24998902]}, {'element': 'C', 'position': [0.88158976, 0.88158976, 0.35525918]}, {'element': 'C', 'position': [0.81143175, 0.81143175, 0.56569994]}, {'element': 'C', 'position': [0.77633372, 0.77633372, 0.67103008]}, {'element': 'C', 'position': [0.70617337, 0.70617337, 0.88150899]}, {'element': 'C', 'position': [0.6710455200000001, 0.6710455200000001, 0.98688863]}, {'element': 'C', 'position': [0.61837615, 0.61837615, 0.14486238]}, {'element': 'C', 'position': [0.56574827, 0.56574827, 0.30274656]}, {'element': 'C', 'position': [0.51312463, 0.51312463, 0.46062954]}, {'element': 'C', 'position': [0.46050866, 0.46050866, 0.618476399999999]}, {'element': 'C', 'position': [0.40786489000000004, 0.40786489000000004, 0.77640286]}, {'element': 'C', 'position': [0.3552219, 0.3552219, 0.9343297700000001]}, {'element': 'C', 'position': [0.30265887, 0.30265887, 0.09204795]}, {'element': 'C', 'position': [0.26752021, 0.26752021, 0.19742432000000001]}, {'element': 'C', 'position': [0.19738772000000002, 0.19738772000000002, 0.40783153]}, {'element': 'C', 'position': [0.16228249, 0.16228249, 0.5131578800000001]}, {'element': 'C', 'position': [0.09212975, 0.09212975, 0.7236176]}, {'element': 'C', 'position': [0.05700849, 0.05700849, 0.82892825]}]",18.877747774124146,False,0.5
Gallium arsenide,google,gemini-2.5-flash,True,,GaAs,F-43m,"{'a': 5.653, 'b': 5.653, 'c': 5.653, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ga', 'position': [0.0, 0.0, 0.0]}, {'element': 'As', 'position': [0.25, 0.25, 0.25]}]",GaAs,F-43m,"{'a': 4.065993051152201, 'b': 4.065992915533793, 'c': 4.065993, 'alpha': 59.99999117709851, 'beta': 59.99999228045072, 'gamma': 59.99999375028118}","[{'element': 'Ga', 'position': [0.0, 0.0, 0.0]}, {'element': 'As', 'position': [0.25, 0.25, 0.25]}]",13.553750038146973,False,1.0
Indium phosphide,google,gemini-2.5-flash,True,,InP,F-43m,"{'a': 5.869, 'b': 5.869, 'c': 5.869, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'In', 'position': [0.0, 0.0, 0.0]}, {'element': 'P', 'position': [0.25, 0.25, 0.25]}]",InP,F-43m,"{'a': 4.174725103299528, 'b': 4.174724893174411, 'c': 4.17472507, 'alpha': 59.99999851962922, 'beta': 60.00000018462105, 'gamma': 60.00000303290362}","[{'element': 'In', 'position': [0.0, 0.0, 0.0]}, {'element': 'P', 'position': [0.25, 0.25, 0.25]}]",5.566673755645752,False,1.0
Zinc selenide,google,gemini-2.5-flash,True,,ZnSe,F-43m,"{'a': 5.668, 'b': 5.668, 'c': 5.668, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Zn', 'position': [0.0, 0.0, 0.0]}, {'element': 'Se', 'position': [0.25, 0.25, 0.25]}]",ZnSe,F-43m,"{'a': 4.005679011332485, 'b': 4.005678358128986, 'c': 4.00567877, 'alpha': 59.99999651610043, 'beta': 60.000001910391944, 'gamma': 59.99999587930295}","[{'element': 'Zn', 'position': [0.0, 0.0, 0.0]}, {'element': 'Se', 'position': [0.25, 0.25, 0.25]}]",12.167294263839722,False,1.0
Cadmium telluride,google,gemini-2.5-flash,True,,CdTe,F-43m,"{'a': 6.482, 'b': 6.482, 'c': 6.482, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Cd', 'position': [0.0, 0.0, 0.0]}, {'element': 'Te', 'position': [0.25, 0.25, 0.25]}]",CdTe,F-43m,"{'a': 4.641608438605873, 'b': 4.641609170455944, 'c': 4.64161015, 'alpha': 60.00000778643148, 'beta': 60.00000253660983, 'gamma': 60.00001117898337}","[{'element': 'Cd', 'position': [0.0, 0.0, 0.0]}, {'element': 'Te', 'position': [0.25, 0.25, 0.25]}]",9.38928198814392,False,1.0
Aluminum nitride,google,gemini-2.5-flash,True,,AlN,P6_3mc,"{'a': 3.111, 'b': 3.111, 'c': 4.98, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Al', 'position': [0.3333, 0.6667, 0.0]}, {'element': 'Al', 'position': [0.6667, 0.3333, 0.5]}, {'element': 'N', 'position': [0.3333, 0.6667, 0.382]}, {'element': 'N', 'position': [0.6667, 0.3333, 0.882]}]",AlN,P6_3mc,"{'a': 3.128588, 'b': 3.1285882719535016, 'c': 5.016955, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999712453396}","[{'element': 'Al', 'position': [0.666667, 0.333333, 0.499287]}, {'element': 'Al', 'position': [0.333333, 0.666667, 0.999286999999999]}, {'element': 'N', 'position': [0.666667, 0.333333, 0.880713]}, {'element': 'N', 'position': [0.333333, 0.666667, 0.380712999999999]}]",12.209334135055542,False,0.9998
Boron nitride,google,gemini-2.5-flash,True,,BN,P6_3/mmc,"{'a': 2.504, 'b': 2.504, 'c': 6.661, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'B', 'position': [0.3333, 0.6667, 0.25]}, {'element': 'B', 'position': [0.6667, 0.3333, 0.75]}, {'element': 'N', 'position': [0.3333, 0.6667, 0.75]}, {'element': 'N', 'position': [0.6667, 0.3333, 0.25]}]",BN,P-6m2,"{'a': 2.5, 'b': 2.5, 'c': 6.77, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'B', 'position': [-0.0, 0.0, 0.0]}, {'element': 'B', 'position': [0.333333, 0.666667, 0.5]}, {'element': 'N', 'position': [0.333333, 0.666667, -0.0]}, {'element': 'N', 'position': [0.666667, 0.333333, 0.5]}]",9.397453308105469,False,0.5
Titanium dioxide,google,gemini-2.5-flash,True,,TiO2,P4_2/mnm,"{'a': 4.5937, 'b': 4.5937, 'c': 2.9587, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ti', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.5, 0.5, 0.5]}, {'element': 'O', 'position': [0.305, 0.305, 0.0]}, {'element': 'O', 'position': [0.695, 0.695, 0.0]}, {'element': 'O', 'position': [0.805, 0.195, 0.5]}, {'element': 'O', 'position': [0.195, 0.805, 0.5]}]",TiO2,I4_1/amd,"{'a': 3.7825395148615826, 'b': 3.7825398449736825, 'c': 5.501451398935157, 'alpha': 110.10714407805271, 'beta': 110.10713257902374, 'gamma': 89.9999788522249}","[{'element': 'Ti', 'position': [0.875, 0.625, 0.25]}, {'element': 'Ti', 'position': [0.125, 0.375, 0.75]}, {'element': 'O', 'position': [0.33215263, 0.5821526300000001, 0.16430425]}, {'element': 'O', 'position': [0.08215263, 0.8321526300000001, 0.66430425]}, {'element': 'O', 'position': [0.91784737, 0.16784737, 0.33569575]}, {'element': 'O', 'position': [0.66784737, 0.41784737, 0.8356957500000001]}]",11.693028211593628,False,0.5
Zinc oxide,google,gemini-2.5-flash,True,,ZnO,P6_3mc,"{'a': 3.249, 'b': 3.249, 'c': 5.206, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Zn', 'position': [0.333333, 0.666667, 0.0]}, {'element': 'Zn', 'position': [0.666667, 0.333333, 0.5]}, {'element': 'O', 'position': [0.333333, 0.666667, 0.382]}, {'element': 'O', 'position': [0.666667, 0.333333, 0.882]}]",ZnO,P6_3mc,"{'a': 3.23735118, 'b': 3.2373508669087494, 'c': 5.2220613, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999298106427}","[{'element': 'Zn', 'position': [0.666667, 0.333333, 0.5005917]}, {'element': 'Zn', 'position': [0.333333, 0.666667, 0.0005917]}, {'element': 'O', 'position': [0.666667, 0.333333, 0.8797183]}, {'element': 'O', 'position': [0.333333, 0.666667, 0.3797183]}]",9.109822511672974,False,0.9988
Iron oxide,google,gemini-2.5-flash,False,LLM failed to identify material,,,,,,,,,34.774839639663696,False,0.0
Copper oxide,google,gemini-2.5-flash,False,LLM failed to identify material,,,,,,,,,33.816012144088745,False,0.0
Silicon dioxide,google,gemini-2.5-flash,True,,SiO2,P3_121,"{'a': 4.9134, 'b': 4.9134, 'c': 5.4052, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Si', 'position': [0.4695, 0.0, 0.3333]}, {'element': 'Si', 'position': [0.0, 0.4695, 0.6667]}, {'element': 'Si', 'position': [0.5305, 0.5305, 0.0]}, {'element': 'O', 'position': [0.4131, 0.2672, 0.1188]}, {'element': 'O', 'position': [0.7328, 0.1459, 0.4521]}, {'element': 'O', 'position': [0.8542, 0.5869, 0.7855]}, {'element': 'O', 'position': [0.5869, 0.7328, 0.8812]}, {'element': 'O', 'position': [0.2672, 0.8542, 0.2145]}, {'element': 'O', 'position': [0.1459, 0.4131, 0.5479]}]",SiO2,P3_121,"{'a': 4.914966, 'b': 4.914966353455409, 'c': 5.43130114, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999127648242}","[{'element': 'Si', 'position': [0.53108859, 0.53108859, 0.0]}, {'element': 'Si', 'position': [-0.0, 0.46891141000000003, 0.666667]}, {'element': 'Si', 'position': [0.46891141000000003, -0.0, 0.333333]}, {'element': 'O', 'position': [0.26922311, 0.41339429, 0.78489098]}, {'element': 'O', 'position': [0.5866057100000001, 0.85582782, 0.11822498000000001]}, {'element': 'O', 'position': [0.14417218, 0.73077689, 0.45155798]}, {'element': 'O', 'position': [0.41339429, 0.26922311, 0.21510902]}, {'element': 'O', 'position': [0.73077689, 0.14417218, 0.54844202]}, {'element': 'O', 'position': [0.85582782, 0.5866057100000001, 0.88177502]}]",16.794068336486816,False,0.75
Quartz,google,gemini-2.5-flash,True,,SiO2,P3_121,"{'a': 4.9134, 'b': 4.9134, 'c': 5.4052, 'alpha': 90.0, 'beta': 90.0, 'gamma': 120.0}","[{'element': 'Si', 'position': [0.4697, 0.0, 0.3333]}, {'element': 'Si', 'position': [0.0, 0.4697, 0.6667]}, {'element': 'Si', 'position': [0.5303, 0.5303, 0.0]}, {'element': 'O', 'position': [0.4135, 0.2681, 0.1188]}, {'element': 'O', 'position': [0.7319, 0.1454, 0.4521]}, {'element': 'O', 'position': [0.8546, 0.5865, 0.7855]}, {'element': 'O', 'position': [0.5865, 0.7319, 0.8812]}, {'element': 'O', 'position': [0.2681, 0.8546, 0.2145]}, {'element': 'O', 'position': [0.1454, 0.4135, 0.5479]}]",SiO2,P3_121,"{'a': 4.914966, 'b': 4.914966353455409, 'c': 5.43130114, 'alpha': 90.0, 'beta': 90.0, 'gamma': 119.99999127648242}","[{'element': 'Si', 'position': [0.53108859, 0.53108859, 0.0]}, {'element': 'Si', 'position': [-0.0, 0.46891141000000003, 0.666667]}, {'element': 'Si', 'position': [0.46891141000000003, -0.0, 0.333333]}, {'element': 'O', 'position': [0.26922311, 0.41339429, 0.78489098]}, {'element': 'O', 'position': [0.5866057100000001, 0.85582782, 0.11822498000000001]}, {'element': 'O', 'position': [0.14417218, 0.73077689, 0.45155798]}, {'element': 'O', 'position': [0.41339429, 0.26922311, 0.21510902]}, {'element': 'O', 'position': [0.73077689, 0.14417218, 0.54844202]}, {'element': 'O', 'position': [0.85582782, 0.5866057100000001, 0.88177502]}]",12.256876468658447,False,0.75
Sodium chloride,google,gemini-2.5-flash,True,,NaCl,Fm-3m,"{'a': 5.64, 'b': 5.64, 'c': 5.64, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Na', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cl', 'position': [0.5, 0.5, 0.5]}]",NaCl,Fm-3m,"{'a': 3.951402922131455, 'b': 3.951402172480169, 'c': 3.951402, 'alpha': 59.99998470065274, 'beta': 59.99999097646918, 'gamma': 59.99999737523848}","[{'element': 'Na', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cl', 'position': [0.5, 0.5, 0.5]}]",10.176560401916504,False,1.0
Cesium chloride,google,gemini-2.5-flash,True,,CsCl,P m -3 m,"{'a': 4.12, 'b': 4.12, 'c': 4.12, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Cs', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cl', 'position': [0.5, 0.5, 0.5]}]",CsCl,Pm-3m,"{'a': 4.14369834, 'b': 4.14369834, 'c': 4.14369834, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Cs', 'position': [0.0, 0.0, 0.0]}, {'element': 'Cl', 'position': [0.5, 0.5, 0.5]}]",7.221996307373047,False,0.5
Lithium fluoride,google,gemini-2.5-flash,True,,LiF,Fm-3m,"{'a': 4.027, 'b': 4.027, 'c': 4.027, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Li', 'position': [0.0, 0.0, 0.0]}, {'element': 'F', 'position': [0.5, 0.5, 0.5]}]",LiF,Fm-3m,"{'a': 2.8874190721445334, 'b': 2.887419441542915, 'c': 2.887419, 'alpha': 59.999993602033705, 'beta': 59.99998937001777, 'gamma': 59.99999714535949}","[{'element': 'Li', 'position': [0.0, 0.0, 0.0]}, {'element': 'F', 'position': [0.5, 0.5, 0.5]}]",10.61877989768982,False,1.0
Magnesium oxide,google,gemini-2.5-flash,True,,MgO,Fm-3m,"{'a': 4.2112, 'b': 4.2112, 'c': 4.2112, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Mg', 'position': [0.0, 0.0, 0.0]}, {'element': 'O', 'position': [0.5, 0.5, 0.5]}]",MgO,Fm-3m,"{'a': 2.965608463297897, 'b': 2.9656084142286705, 'c': 2.96560719, 'alpha': 59.99999152264117, 'beta': 59.99999219878217, 'gamma': 59.99998781182175}","[{'element': 'Mg', 'position': [0.0, 0.0, 0.0]}, {'element': 'O', 'position': [0.5, 0.5, 0.5]}]",15.707352638244627,False,1.0
Calcium fluoride,google,gemini-2.5-flash,True,,CaF2,Fm-3m,"{'a': 5.463, 'b': 5.463, 'c': 5.463, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ca', 'position': [0.0, 0.0, 0.0]}, {'element': 'F', 'position': [0.25, 0.25, 0.25]}, {'element': 'F', 'position': [0.75, 0.75, 0.75]}]",CaF2,Fm-3m,"{'a': 3.900438, 'b': 3.900438, 'c': 3.900438, 'alpha': 60.0, 'beta': 60.0, 'gamma': 60.0}","[{'element': 'Ca', 'position': [0.0, 0.0, 0.0]}, {'element': 'F', 'position': [0.75, 0.75, 0.75]}, {'element': 'F', 'position': [0.25, 0.25, 0.25]}]",14.442959070205688,False,1.0
Barium sulfate,google,gemini-2.5-flash,False,LLM failed to identify material,,,,,,,,,32.94653582572937,False,0.0
Barium titanate,google,gemini-2.5-flash,True,,BaTiO3,P4mm,"{'a': 3.992, 'b': 3.992, 'c': 4.034, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ba', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.5, 0.5, 0.5106]}, {'element': 'O', 'position': [0.5, 0.5, 0.0268]}, {'element': 'O', 'position': [0.5, 0.0, 0.4837]}, {'element': 'O', 'position': [0.0, 0.5, 0.4837]}]",BaTiO3,Amm2,"{'a': 3.98333387, 'b': 4.0573426446750185, 'c': 4.0573423579991434, 'alpha': 90.25451681616497, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ba', 'position': [0.0, 0.00341385, 0.9965861500000001]}, {'element': 'Ti', 'position': [0.5, 0.5185038200000001, 0.48149618]}, {'element': 'O', 'position': [0.5, 0.49135189999999906, 0.02157433]}, {'element': 'O', 'position': [0.5, 0.97842567, 0.508648099999999]}, {'element': 'O', 'position': [0.0, 0.48820476, 0.51179524]}]",15.930071115493774,False,0.5
Lead titanate,google,gemini-2.5-flash,True,,PbTiO3,P4mm,"{'a': 3.904, 'b': 3.904, 'c': 4.152, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Pb', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.5, 0.5, 0.54]}, {'element': 'O', 'position': [0.5, 0.0, 0.59]}, {'element': 'O', 'position': [0.0, 0.5, 0.59]}, {'element': 'O', 'position': [0.5, 0.5, 0.09]}]",TiPbO3,P4mm,"{'a': 3.8795519, 'b': 3.8795519, 'c': 4.2858876200000005, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Ti', 'position': [0.5, 0.5, 0.58251444]}, {'element': 'Pb', 'position': [-0.0, 0.0, 0.12358795]}, {'element': 'O', 'position': [-0.0, 0.5, 0.49415765]}, {'element': 'O', 'position': [0.5, 0.0, 0.49415765]}, {'element': 'O', 'position': [0.5, 0.5, 0.99578232]}]",10.54799509048462,False,0.25
Strontium titanate,google,gemini-2.5-flash,True,,SrTiO3,Pm-3m,"{'a': 3.905, 'b': 3.905, 'c': 3.905, 'alpha': 90.0, 'beta': 90.0, 'gamma': 90.0}","[{'element': 'Sr', 'position': [0.0, 0.0, 0.0]}, {'element': 'Ti', 'position': [0.5, 0.5, 0.5]}, {'element': 'O', 'position': [0.5, 0.5, 0.0]}, {'element': 'O', 'position': [0.5, 0.0, 0.5]}, {'element': 'O', 'position': [0.0, 0.5, 0.5]}]",SrTiO3,I4/mcm,"{'a': 5.522329700714994, 'b': 5.522329559400709, 'c': 5.534898478941332, 'alpha': 119.92490712678152, 'beta': 119.92490461029365, 'gamma': 89.99999866323975}","[{'element': 'Sr', 'position': [0.75, 0.25, 0.5]}, {'element': 'Sr', 'position': [0.25, 0.75, 0.5]}, {'element': 'Ti', 'position': [0.5, 0.5, -0.0]}, {'element': 'Ti', 'position': [-0.0, 0.0, -0.0]}, {'element': 'O', 'position': [0.77095745, 0.27095745, -0.0]}, {'element': 'O', 'position': [0.7290425500000001, 0.77095745, 0.0]}, {'element': 'O', 'position': [0.27095745, 0.22904255, -0.0]}, {'element': 'O', 'position': [0.22904255, 0.7290425500000001, 0.0]}, {'element': 'O', 'position': [0.25, 0.25, 0.5]}, {'element': 'O', 'position': [0.75, 0.75, 0.5]}]",7.514434337615967,False,0.5
Lithium niobate,google,gemini-2.5-flash,False,LLM failed to identify material,,,,,,,,,32.706562995910645,False,0.0
